
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0078"
"0.0200","0.0000","-0.0063"
"0.0400","-0.0005","0.0146"
"0.0600","-0.0009","-0.0045"
"0.0800","-0.0010","0.0082"
"0.1000","-0.0009","0.0015"
"0.1200","-0.0008","-0.0003"
"0.1400","-0.0006","0.0055"
"0.1600","-0.0005","0.0106"
"0.1800","-0.0002","-0.0032"
"0.2000","0.0000","-0.0174"
"0.2200","0.0002","0.0148"
"0.2400","0.0005","0.0241"
"0.2600","0.0008","0.0088"
"0.2800","0.0011","-0.0011"
"0.3000","0.0016","-0.0066"
"0.3200","0.0020","0.0055"
"0.3400","0.0025","-0.0019"
"0.3600","0.0029","0.0026"
"0.3800","0.0033","-0.0131"
"0.4000","0.0036","0.0050"
"0.4200","0.0039","0.0105"
"0.4400","0.0041","0.0006"
"0.4600","0.0043","0.0005"
"0.4800","0.0045","-0.0018"
"0.5000","0.0047","-0.0128"
"0.5200","0.0049","-0.0015"
"0.5400","0.0051","0.0330"
"0.5600","0.0053","0.0141"
"0.5800","0.0055","-0.0121"
"0.6000","0.0057","-0.0196"
"0.6200","0.0059","0.0238"
"0.6400","0.0061","-0.0082"
"0.6600","0.0063","-0.0033"
"0.6800","0.0064","0.0042"
"0.7000","0.0066","0.0080"
"0.7200","0.0068","-0.0040"
"0.7400","0.0070","0.0012"
"0.7600","0.0072","0.0177"
"0.7800","0.0074","0.0093"
"0.8000","0.0076","-0.0173"
"0.8200","0.0079","0.0195"
"0.8400","0.0081","-0.0001"
"0.8600","0.0083","-0.0042"
"0.8800","0.0085","-0.0151"
"0.9000","0.0087","0.0120"
"0.9200","0.0089","0.0092"
"0.9400","0.0091","0.0187"
"0.9600","0.0093","0.0025"
"0.9800","0.0094","-0.0089"
"1.0000","0.0096","-0.0192"
"1.0200","0.0098","0.0219"
"1.0400","0.0100","0.0248"
"1.0600","0.0102","0.0087"
"1.0800","0.0104","-0.0146"
"1.1000","0.0106","0.0171"
"1.1200","0.0108","0.0188"
"1.1400","0.0110","-0.0056"
