
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0110"
"0.0200","0.0000","-0.0068"
"0.0400","0.0000","-0.0048"
"0.0600","0.0000","0.0175"
"0.0800","0.0002","0.0081"
"0.1000","0.0003","-0.0182"
"0.1200","0.0004","0.0114"
"0.1400","0.0005","-0.0020"
"0.1600","0.0006","0.0157"
"0.1800","0.0007","-0.0007"
"0.2000","0.0009","-0.0137"
"0.2200","0.0011","0.0066"
"0.2400","0.0013","0.0017"
"0.2600","0.0016","-0.0022"
"0.2800","0.0018","0.0035"
"0.3000","0.0021","-0.0026"
"0.3200","0.0024","-0.0161"
"0.3400","0.0027","0.0036"
"0.3600","0.0031","-0.0022"
"0.3800","0.0034","0.0082"
"0.4000","0.0038","-0.0174"
"0.4200","0.0041","-0.0173"
"0.4400","0.0045","0.0001"
"0.4600","0.0049","0.0154"
"0.4800","0.0053","-0.0016"
"0.5000","0.0058","0.0039"
"0.5200","0.0062","-0.0014"
"0.5400","0.0066","-0.0007"
"0.5600","0.0071","0.0105"
"0.5800","0.0075","-0.0015"
"0.6000","0.0078","0.0157"
"0.6200","0.0082","-0.0136"
"0.6400","0.0085","-0.0091"
"0.6600","0.0088","-0.0019"
"0.6800","0.0091","-0.0084"
"0.7000","0.0093","0.0020"
"0.7200","0.0096","-0.0104"
"0.7400","0.0100","0.0043"
"0.7600","0.0103","0.0100"
"0.7800","0.0106","-0.0154"
"0.8000","0.0108","-0.0035"
"0.8200","0.0111","-0.0099"
"0.8400","0.0114","0.0217"
"0.8600","0.0117","-0.0144"
"0.8800","0.0121","-0.0078"
"0.9000","0.0124","0.0039"
"0.9200","0.0127","0.0105"
"0.9400","0.0130","-0.0148"
"0.9600","0.0133","0.0050"
"0.9800","0.0136","-0.0096"
"1.0000","0.0139","-0.0039"
"1.0200","0.0142","0.0104"
"1.0400","0.0145","0.0133"
"1.0600","0.0148","-0.0164"
"1.0800","0.0151","-0.0149"
"1.1000","0.0154","0.0130"
"1.1200","0.0157","0.0084"
"1.1400","0.0160","-0.0050"
"1.1600","0.0163","0.0047"
"1.1800","0.0165","-0.0056"
"1.2000","0.0168","-0.0062"
"1.2200","0.0171","0.0012"
"1.2400","0.0175","-0.0099"
"1.2600","0.0178","-0.0006"
"1.2800","0.0181","0.0014"
"1.3000","0.0184","0.0135"
"1.3200","0.0186","-0.0145"
"1.3400","0.0189","0.0006"
"1.3600","0.0192","0.0001"
"1.3800","0.0195","0.0139"
"1.4000","0.0199","-0.0012"
"1.4200","0.0202","-0.0036"
"1.4400","0.0204","0.0047"
"1.4600","0.0207","-0.0097"
"1.4800","0.0210","-0.0045"
"1.5000","0.0213","0.0012"
"1.5200","0.0216","-0.0023"
"1.5400","0.0219","0.0110"
"1.5600","0.0222","-0.0065"
"1.5800","0.0225","0.0084"
"1.6000","0.0229","-0.0149"
"1.6200","0.0232","-0.0003"
"1.6400","0.0235","0.0085"
"1.6600","0.0238","-0.0044"
"1.6800","0.0241","0.0023"
"1.7000","0.0244","0.0122"
"1.7200","0.0247","0.0105"
"1.7400","0.0250","-0.0050"
"1.7600","0.0253","-0.0080"
"1.7800","0.0256","-0.0018"
"1.8000","0.0259","0.0008"
"1.8200","0.0262","0.0031"
"1.8400","0.0265","0.0021"
"1.8600","0.0268","0.0042"
"1.8800","0.0271","0.0020"
"1.9000","0.0274","0.0166"
"1.9200","0.0277","-0.0175"
"1.9400","0.0280","-0.0113"
"1.9600","0.0283","-0.0189"
"1.9800","0.0285","0.0152"
"2.0000","0.0288","0.0222"
"2.0200","0.0291","-0.0086"
"2.0400","0.0294","-0.0117"
"2.0600","0.0297","0.0158"
"2.0800","0.0300","0.0062"
"2.1000","0.0304","0.0071"
"2.1200","0.0307","0.0133"
"2.1400","0.0310","0.0111"
"2.1600","0.0313","-0.0152"
"2.1800","0.0316","0.0025"
"2.2000","0.0319","0.0080"
"2.2200","0.0322","0.0116"
"2.2400","0.0325","0.0032"
"2.2600","0.0328","0.0093"
"2.2800","0.0331","-0.0134"
"2.3000","0.0334","-0.0035"
"2.3200","0.0337","0.0099"
"2.3400","0.0340","-0.0066"
"2.3600","0.0343","0.0060"
"2.3800","0.0346","0.0006"
"2.4000","0.0349","0.0143"
"2.4200","0.0352","-0.0088"
"2.4400","0.0355","-0.0061"
"2.4600","0.0358","0.0168"
"2.4800","0.0360","0.0039"
"2.5000","0.0363","-0.0287"
"2.5200","0.0366","0.0111"
"2.5400","0.0370","0.0287"
"2.5600","0.0373","0.0089"
"2.5800","0.0376","-0.0094"
"2.6000","0.0379","-0.0262"
"2.6200","0.0382","-0.0053"
"2.6400","0.0385","0.0212"
"2.6600","0.0388","0.0216"
"2.6800","0.0391","-0.0025"
"2.7000","0.0394","-0.0302"
"2.7200","0.0397","0.0000"
"2.7400","0.0401","0.0179"
"2.7600","0.0404","0.0086"
"2.7800","0.0407","0.0085"
"2.8000","0.0410","-0.0011"
"2.8200","0.0413","0.0012"
"2.8400","0.0416","-0.0049"
"2.8600","0.0419","-0.0067"
"2.8800","0.0422","0.0026"
"2.9000","0.0425","-0.0083"
"2.9200","0.0428","0.0066"
"2.9400","0.0431","0.0175"
"2.9600","0.0434","0.0039"
"2.9800","0.0437","-0.0128"
"3.0000","0.0440","-0.0139"
"3.0200","0.0443","-0.0082"
"3.0400","0.0446","0.0344"
"3.0600","0.0449","0.0328"
"3.0800","0.0451","0.0028"
"3.1000","0.0454","-0.0380"
"3.1200","0.0457","-0.0263"
"3.1400","0.0460","0.0176"
"3.1600","0.0463","0.0457"
"3.1800","0.0466","0.0165"
"3.2000","0.0469","-0.0107"
"3.2200","0.0472","-0.0112"
"3.2400","0.0475","-0.0152"
"3.2600","0.0478","0.0053"
"3.2800","0.0481","0.0274"
"3.3000","0.0484","0.0242"
"3.3200","0.0487","0.0102"
"3.3400","0.0490","-0.0154"
"3.3600","0.0493","-0.0091"
"3.3800","0.0496","0.0027"
"3.4000","0.0499","0.0069"
"3.4200","0.0502","0.0068"
"3.4400","0.0505","0.0031"
"3.4600","0.0508","-0.0045"
"3.4800","0.0511","0.0130"
"3.5000","0.0514","-0.0120"
"3.5200","0.0517","-0.0094"
"3.5400","0.0520","-0.0154"
"3.5600","0.0523","0.0313"
"3.5800","0.0526","0.0464"
"3.6000","0.0529","0.0083"
"3.6200","0.0532","-0.0431"
"3.6400","0.0535","-0.0568"
"3.6600","0.0538","0.0164"
"3.6800","0.0541","0.0575"
"3.7000","0.0544","0.0252"
"3.7200","0.0547","-0.0247"
"3.7400","0.0550","-0.0219"
"3.7600","0.0553","-0.0135"
"3.7800","0.0555","0.0074"
"3.8000","0.0558","0.0046"
"3.8200","0.0561","0.0253"
"3.8400","0.0564","-0.0049"
"3.8600","0.0568","-0.0097"
"3.8800","0.0571","0.0010"
"3.9000","0.0574","-0.0090"
"3.9200","0.0577","0.0265"
"3.9400","0.0580","0.0264"
"3.9600","0.0583","-0.0087"
"3.9800","0.0586","-0.0122"
"4.0000","0.0589","-0.0020"
"4.0200","0.0592","0.0256"
"4.0400","0.0595","-0.0056"
"4.0600","0.0598","-0.0234"
"4.0800","0.0601","0.0179"
"4.1000","0.0604","0.0078"
"4.1200","0.0607","-0.0158"
"4.1400","0.0610","-0.0064"
"4.1600","0.0613","0.0166"
"4.1800","0.0616","0.0356"
"4.2000","0.0619","0.0083"
"4.2200","0.0622","-0.0274"
"4.2400","0.0625","-0.0148"
"4.2600","0.0628","0.0191"
"4.2800","0.0631","0.0276"
"4.3000","0.0634","0.0066"
"4.3200","0.0637","-0.0106"
"4.3400","0.0640","0.0185"
"4.3600","0.0643","-0.0014"
"4.3800","0.0646","-0.0137"
"4.4000","0.0649","0.0108"
"4.4200","0.0652","0.0129"
"4.4400","0.0655","0.0047"
"4.4600","0.0658","-0.0112"
"4.4800","0.0661","0.0027"
"4.5000","0.0664","0.0094"
"4.5200","0.0667","0.0000"
"4.5400","0.0670","-0.0062"
"4.5600","0.0673","0.0077"
"4.5800","0.0676","0.0013"
"4.6000","0.0679","0.0126"
"4.6200","0.0682","0.0083"
"4.6400","0.0685","-0.0002"
"4.6600","0.0688","-0.0122"
"4.6800","0.0691","-0.0171"
"4.7000","0.0694","0.0297"
"4.7200","0.0697","0.0463"
