
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0047"
"0.0200","0.0000","0.0001"
"0.0400","0.0000","0.0074"
"0.0600","0.0000","-0.0060"
"0.0800","0.0000","-0.0093"
"0.1000","0.0002","0.0009"
"0.1200","0.0005","-0.0001"
"0.1400","0.0006","0.0076"
"0.1600","0.0006","-0.0248"
"0.1800","0.0006","0.0069"
"0.2000","0.0006","0.0237"
"0.2200","0.0007","0.0045"
"0.2400","0.0008","-0.0047"
"0.2600","0.0009","-0.0125"
"0.2800","0.0010","0.0142"
"0.3000","0.0012","0.0139"
"0.3200","0.0013","-0.0172"
"0.3400","0.0015","-0.0096"
"0.3600","0.0017","0.0099"
"0.3800","0.0019","-0.0060"
"0.4000","0.0021","0.0057"
"0.4200","0.0023","0.0127"
"0.4400","0.0025","-0.0081"
"0.4600","0.0027","0.0026"
"0.4800","0.0029","0.0004"
"0.5000","0.0032","0.0019"
"0.5200","0.0034","-0.0014"
"0.5400","0.0036","0.0031"
"0.5600","0.0039","-0.0037"
"0.5800","0.0041","-0.0108"
"0.6000","0.0044","0.0003"
"0.6200","0.0046","0.0140"
"0.6400","0.0048","-0.0050"
"0.6600","0.0051","0.0044"
"0.6800","0.0053","0.0100"
"0.7000","0.0056","0.0182"
"0.7200","0.0058","0.0009"
"0.7400","0.0060","-0.0137"
"0.7600","0.0063","0.0172"
"0.7800","0.0065","0.0165"
"0.8000","0.0067","-0.0111"
"0.8200","0.0069","-0.0089"
"0.8400","0.0072","-0.0126"
"0.8600","0.0074","0.0190"
"0.8800","0.0076","0.0224"
"0.9000","0.0078","-0.0009"
"0.9200","0.0080","-0.0002"
"0.9400","0.0082","-0.0065"
"0.9600","0.0085","0.0196"
"0.9800","0.0087","-0.0024"
"1.0000","0.0089","-0.0018"
"1.0200","0.0091","-0.0185"
"1.0400","0.0093","0.0054"
"1.0600","0.0095","0.0044"
"1.0800","0.0097","0.0034"
"1.1000","0.0100","-0.0065"
"1.1200","0.0102","-0.0041"
"1.1400","0.0104","0.0164"
"1.1600","0.0106","0.0031"
"1.1800","0.0108","-0.0023"
"1.2000","0.0110","0.0046"
"1.2200","0.0112","0.0054"
"1.2400","0.0114","-0.0040"
"1.2600","0.0116","0.0133"
"1.2800","0.0118","-0.0018"
"1.3000","0.0120","0.0033"
"1.3200","0.0122","-0.0085"
"1.3400","0.0124","0.0129"
"1.3600","0.0126","-0.0036"
"1.3800","0.0128","-0.0117"
"1.4000","0.0130","0.0219"
"1.4200","0.0132","-0.0061"
"1.4400","0.0134","-0.0010"
"1.4600","0.0136","0.0022"
"1.4800","0.0138","0.0033"
"1.5000","0.0140","0.0166"
"1.5200","0.0142","-0.0192"
"1.5400","0.0144","0.0024"
"1.5600","0.0146","0.0252"
"1.5800","0.0148","0.0131"
"1.6000","0.0150","-0.0051"
"1.6200","0.0152","-0.0142"
"1.6400","0.0154","0.0112"
"1.6600","0.0156","0.0007"
"1.6800","0.0158","-0.0042"
"1.7000","0.0160","0.0121"
"1.7200","0.0162","0.0034"
"1.7400","0.0164","-0.0050"
"1.7600","0.0166","-0.0035"
"1.7800","0.0168","-0.0022"
"1.8000","0.0170","0.0119"
"1.8200","0.0172","0.0127"
"1.8400","0.0174","0.0097"
"1.8600","0.0176","0.0052"
"1.8800","0.0178","-0.0075"
"1.9000","0.0180","-0.0094"
"1.9200","0.0182","0.0086"
"1.9400","0.0184","0.0084"
"1.9600","0.0186","-0.0037"
"1.9800","0.0188","0.0069"
"2.0000","0.0190","0.0102"
"2.0200","0.0192","0.0090"
"2.0400","0.0194","0.0120"
"2.0600","0.0196","0.0184"
"2.0800","0.0198","0.0115"
