
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0740"
"0.0200","0.0000","-0.0757"
"0.0400","0.0000","-0.0829"
"0.0600","0.0000","-0.0975"
"0.0800","0.0000","-0.0894"
"0.1000","0.0002","-0.0760"
"0.1200","0.0003","-0.0736"
"0.1400","0.0003","-0.0909"
"0.1600","0.0004","-0.0892"
"0.1800","0.0004","-0.0701"
"0.2000","0.0005","-0.0858"
"0.2200","0.0006","-0.0819"
"0.2400","0.0007","-0.0862"
"0.2600","0.0009","-0.0722"
"0.2800","0.0010","-0.0900"
"0.3000","0.0012","-0.0776"
"0.3200","0.0013","-0.0923"
"0.3400","0.0015","-0.0859"
"0.3600","0.0017","-0.0842"
"0.3800","0.0019","-0.0690"
"0.4000","0.0021","-0.0821"
"0.4200","0.0023","-0.0818"
"0.4400","0.0026","-0.0900"
"0.4600","0.0028","-0.0797"
"0.4800","0.0030","-0.0765"
"0.5000","0.0033","-0.0904"
"0.5200","0.0035","-0.0765"
"0.5400","0.0038","-0.0712"
"0.5600","0.0040","-0.0707"
"0.5800","0.0043","-0.0937"
"0.6000","0.0045","-0.0685"
"0.6200","0.0047","-0.0820"
"0.6400","0.0050","-0.1034"
"0.6600","0.0052","-0.0684"
"0.6800","0.0055","-0.0750"
"0.7000","0.0057","-0.0711"
"0.7200","0.0060","-0.0764"
"0.7400","0.0063","-0.0653"
"0.7600","0.0066","-0.0800"
"0.7800","0.0068","-0.0622"
"0.8000","0.0071","-0.0699"
"0.8200","0.0073","-0.0977"
"0.8400","0.0075","-0.0891"
"0.8600","0.0077","-0.0519"
"0.8800","0.0079","-0.0640"
"0.9000","0.0081","-0.0670"
"0.9200","0.0083","-0.0990"
"0.9400","0.0085","-0.0550"
"0.9600","0.0087","-0.0572"
"0.9800","0.0089","-0.0722"
"1.0000","0.0091","-0.0775"
"1.0200","0.0093","-0.0817"
"1.0400","0.0095","-0.0601"
"1.0600","0.0097","-0.0619"
"1.0800","0.0099","-0.0745"
"1.1000","0.0101","-0.0775"
"1.1200","0.0103","-0.0841"
"1.1400","0.0105","-0.0627"
"1.1600","0.0107","-0.0636"
"1.1800","0.0109","-0.0750"
"1.2000","0.0111","-0.0751"
"1.2200","0.0113","-0.0674"
"1.2400","0.0115","-0.0594"
"1.2600","0.0117","-0.0627"
"1.2800","0.0119","-0.0782"
"1.3000","0.0121","-0.0834"
"1.3200","0.0123","-0.0804"
"1.3400","0.0125","-0.0543"
"1.3600","0.0127","-0.0416"
"1.3800","0.0129","-0.0692"
"1.4000","0.0131","-0.0754"
"1.4200","0.0133","-0.0818"
"1.4400","0.0135","-0.0680"
"1.4600","0.0137","-0.0592"
"1.4800","0.0139","-0.0576"
"1.5000","0.0141","-0.0788"
"1.5200","0.0143","-0.0586"
"1.5400","0.0145","-0.0688"
"1.5600","0.0147","-0.0706"
"1.5800","0.0149","-0.0648"
"1.6000","0.0151","-0.0610"
"1.6200","0.0153","-0.0759"
"1.6400","0.0155","-0.0693"
"1.6600","0.0157","-0.0628"
"1.6800","0.0159","-0.0689"
"1.7000","0.0161","-0.0743"
"1.7200","0.0163","-0.0648"
"1.7400","0.0165","-0.0569"
"1.7600","0.0167","-0.0605"
"1.7800","0.0169","-0.0567"
"1.8000","0.0171","-0.0822"
"1.8200","0.0173","-0.0717"
"1.8400","0.0175","-0.0525"
"1.8600","0.0177","-0.0568"
"1.8800","0.0179","-0.0481"
"1.9000","0.0181","-0.0610"
"1.9200","0.0183","-0.0613"
"1.9400","0.0185","-0.0828"
"1.9600","0.0187","-0.0533"
"1.9800","0.0189","-0.0568"
"2.0000","0.0191","-0.0480"
"2.0200","0.0193","-0.0668"
"2.0400","0.0195","-0.0651"
"2.0600","0.0197","-0.0630"
"2.0800","0.0199","-0.0495"
"2.1000","0.0201","-0.0614"
"2.1200","0.0203","-0.0614"
"2.1400","0.0205","-0.0689"
"2.1600","0.0207","-0.0504"
"2.1800","0.0209","-0.0594"
"2.2000","0.0211","-0.0595"
"2.2200","0.0213","-0.0604"
"2.2400","0.0215","-0.0542"
"2.2600","0.0217","-0.0439"
"2.2800","0.0219","-0.0695"
"2.3000","0.0221","-0.0663"
"2.3200","0.0223","-0.0468"
"2.3400","0.0225","-0.0600"
"2.3600","0.0227","-0.0618"
"2.3800","0.0229","-0.0810"
"2.4000","0.0231","-0.0489"
"2.4200","0.0233","-0.0644"
"2.4400","0.0235","-0.0529"
"2.4600","0.0237","-0.0663"
"2.4800","0.0239","-0.0411"
"2.5000","0.0241","-0.0640"
"2.5200","0.0244","-0.0440"
"2.5400","0.0246","-0.0597"
"2.5600","0.0247","-0.0464"
"2.5800","0.0249","-0.0663"
"2.6000","0.0251","-0.0645"
"2.6200","0.0253","-0.0430"
"2.6400","0.0255","-0.0696"
"2.6600","0.0257","-0.0546"
"2.6800","0.0259","-0.0546"
"2.7000","0.0261","-0.0483"
"2.7200","0.0263","-0.0531"
"2.7400","0.0265","-0.0591"
"2.7600","0.0267","-0.0536"
"2.7800","0.0269","-0.0726"
"2.8000","0.0271","-0.0535"
"2.8200","0.0273","-0.0386"
"2.8400","0.0275","-0.0604"
"2.8600","0.0277","-0.0700"
"2.8800","0.0279","-0.0611"
"2.9000","0.0281","-0.0507"
"2.9200","0.0283","-0.0502"
"2.9400","0.0285","-0.0596"
"2.9600","0.0287","-0.0705"
"2.9800","0.0289","-0.0535"
"3.0000","0.0291","-0.0475"
"3.0200","0.0293","-0.0394"
"3.0400","0.0295","-0.0533"
"3.0600","0.0297","-0.0560"
"3.0800","0.0299","-0.0440"
"3.1000","0.0301","-0.0661"
"3.1200","0.0303","-0.0455"
"3.1400","0.0305","-0.0477"
"3.1600","0.0307","-0.0481"
"3.1800","0.0309","-0.0497"
"3.2000","0.0311","-0.0627"
"3.2200","0.0313","-0.0558"
"3.2400","0.0315","-0.0414"
"3.2600","0.0317","-0.0328"
"3.2800","0.0319","-0.0461"
"3.3000","0.0321","-0.0566"
"3.3200","0.0323","-0.0484"
"3.3400","0.0325","-0.0701"
"3.3600","0.0327","-0.0296"
"3.3800","0.0330","-0.0547"
"3.4000","0.0332","-0.0575"
"3.4200","0.0334","-0.0473"
"3.4400","0.0336","-0.0395"
"3.4600","0.0338","-0.0614"
"3.4800","0.0340","-0.0601"
"3.5000","0.0342","-0.0471"
"3.5200","0.0344","-0.0356"
"3.5400","0.0346","-0.0477"
"3.5600","0.0348","-0.0507"
"3.5800","0.0350","-0.0501"
"3.6000","0.0352","-0.0488"
"3.6200","0.0354","-0.0320"
"3.6400","0.0356","-0.0505"
"3.6600","0.0357","-0.0484"
"3.6800","0.0359","-0.0437"
"3.7000","0.0361","-0.0384"
"3.7200","0.0363","-0.0545"
"3.7400","0.0365","-0.0612"
"3.7600","0.0368","-0.0432"
"3.7800","0.0370","-0.0373"
"3.8000","0.0372","-0.0549"
"3.8200","0.0374","-0.0470"
"3.8400","0.0376","-0.0434"
"3.8600","0.0378","-0.0373"
"3.8800","0.0380","-0.0417"
"3.9000","0.0382","-0.0623"
"3.9200","0.0384","-0.0261"
"3.9400","0.0386","-0.0350"
"3.9600","0.0388","-0.0223"
"3.9800","0.0390","-0.0517"
"4.0000","0.0392","-0.0595"
"4.0200","0.0394","-0.0334"
"4.0400","0.0396","-0.0309"
"4.0600","0.0398","-0.0370"
"4.0800","0.0400","-0.0632"
"4.1000","0.0402","-0.0440"
"4.1200","0.0404","-0.0340"
"4.1400","0.0406","-0.0426"
"4.1600","0.0409","-0.0511"
"4.1800","0.0411","-0.0344"
"4.2000","0.0413","-0.0370"
"4.2200","0.0415","-0.0384"
"4.2400","0.0417","-0.0525"
"4.2600","0.0419","-0.0307"
